high,medium,low,listing_id
0.852,0.115,0.033,7137593
0.298,0.684,0.018,6962391
0.926,0.061,0.013,6820764
0.247,0.74,0.013,6816377
0.882,0.091,0.027,7092829
0.994,0.005,0.001,6999041
0.804,0.163,0.033,6931856
0.948,0.04,0.012,6917207
0.95,0.022,0.028,7082985
0.925,0.068,0.007,7212927
0.9,0.089,0.011,7157654
0.219,0.114,0.667,7019006
0.99,0.008,0.002,7202968
0.82,0.145,0.035,7091162
0.163,0.167,0.67,6981884
0.965,0.032,0.003,6821903
0.946,0.042,0.012,6999378
0.991,0.008,0.001,6969116
0.967,0.025,0.008,6902538
0.758,0.205,0.037,7078582
0.924,0.067,0.009,6957436
0.981,0.017,0.002,7037490
0.825,0.125,0.05,6877446
0.244,0.709,0.047,6837446
0.244,0.11566666666666667,0.6403333333333334,7160873
0.988,0.012,0.0,7041060
0.986,0.01,0.004,7167919
0.901,0.088,0.011,6839030
0.1385,0.8165,0.045,6851366
0.089,0.128,0.783,6834421
0.2306666666666667,0.731,0.03833333333333333,7121127
0.93,0.063,0.007,7131910
0.95,0.042,0.008,7154477
0.129,0.757,0.114,6880253
0.956,0.041,0.003,7110652
0.088,0.11485,0.79715,7188135
0.04,0.076,0.884,6817033
0.187,0.7794166666666666,0.033583333333333326,7157891
0.976,0.021,0.003,6966266
0.135,0.22,0.645,6883827
0.044666666666666674,0.198,0.7573333333333334,6898428
0.937,0.061,0.002,7207467
0.815,0.18125,0.00375,7224180
0.895,0.082,0.023,6890961
0.882,0.096,0.022,7159752
0.968,0.027,0.005,6861975
0.975,0.015,0.01,6972586
0.916,0.058,0.026,6964838
0.958,0.028,0.014,6874754
0.252,0.737,0.011,7047626
0.9165,0.0705,0.013,6956757
0.158,0.76,0.082,6874570
0.9696666666666668,0.027333333333333334,0.003,7048980
0.982,0.014,0.004,7030241
0.925,0.059,0.016,7030928
0.942,0.05,0.008,7057999
0.122,0.135,0.743,6975563
0.975,0.02,0.005,7089954
0.997,0.002,0.001,7200119
0.95,0.04116666666666667,0.008833333333333334,7127305
0.998,0.002,0.0,7106684
0.8286666666666667,0.146,0.025333333333333333,7233095
0.123,0.108,0.769,7102661
0.892,0.096,0.012,6885769
0.885,0.093,0.022,6867955
0.911,0.082,0.007,7239708
0.029,0.84,0.131,6919760
0.989,0.01,0.001,7004610
1.0,0.0,0.0,6827697
0.833,0.153,0.014,7214206
0.956,0.042,0.002,6831260
0.971,0.026,0.003,7127067
0.999,0.001,0.0,7096158
0.968,0.019,0.013,6853465
0.162,0.785,0.053,7129661
0.996,0.004,0.0,6951988
0.957,0.036,0.007,6906972
0.15,0.77,0.08,7168270
0.985,0.01,0.005,6850683
0.989,0.009,0.002,6955899
0.128,0.787,0.085,7094008
0.984,0.014,0.002,6921047
0.228,0.1225,0.6495,7181786
0.083,0.121,0.796,7127643
0.048,0.127,0.825,6818565
0.862,0.107,0.031,6825499
0.967,0.025,0.008,6995823
0.989,0.011,0.0,6935092
0.128,0.805,0.067,6917750
0.992,0.005,0.003,6985255
0.989,0.008,0.003,7641397
0.258,0.73,0.012,6852613
0.28,0.687,0.033,7051735
0.068,0.154,0.778,7030711
0.916,0.079,0.005,7224358
0.154,0.789,0.057,7181503
0.0745,0.7165,0.209,7025543
0.770104761904762,0.0625,0.16739523809523807,6879634
0.951,0.045,0.004,7123761
0.28833333333333333,0.6996666666666667,0.012,7197480
0.202,0.773,0.025,6971577
0.108,0.174,0.718,7127501
0.047,0.861,0.092,6913249
0.8415,0.1245,0.034,7641535
0.943,0.048,0.009,7004621
0.943,0.049,0.008,7052315
0.976,0.024,0.0,6961651
0.962,0.033,0.005,7030196
0.868,0.118,0.014,6957027
0.959,0.032,0.009,6814952
0.139,0.1093666666666667,0.7516333333333335,6922251
0.89,0.092,0.018,6897930
0.05333333333333333,0.162,0.7846666666666667,7049631
0.207,0.7146666666666668,0.07833333333333334,6859517
0.88,0.099,0.021,6968536
0.15566666666666665,0.7893333333333333,0.055,7026249
0.1005,0.173,0.7265,7030401
0.872,0.103,0.025,7155687
0.995,0.004,0.001,6854549
0.839,0.155,0.006,7002665
0.924,0.054,0.022,7022998
0.935,0.058,0.007,6908818
0.851,0.124,0.025,7173989
0.968,0.03,0.002,7023402
0.926,0.065,0.009,6945906
0.96,0.025,0.015,7232484
0.98,0.018,0.002,7078085
0.994,0.005,0.001,6857674
0.97,0.025,0.005,7009579
0.154,0.817,0.029,7031615
0.997,0.002,0.001,6954796
0.117,0.162,0.721,6877298
0.977,0.023,0.0,7187826
0.949,0.041,0.01,7414316
0.28,0.71,0.01,7204094
0.97,0.023,0.007,7059049
0.946,0.051,0.003,7058086
0.273,0.708,0.019,6994609
0.962,0.034,0.004,7046837
0.242,0.085,0.673,6874479
0.793,0.137,0.07,7102957
0.228,0.733,0.039,7175251
0.206,0.75225,0.04175,7232859
0.915,0.071,0.014,7151271
0.903,0.087,0.01,7132372
0.941,0.048,0.011,7118475
0.949,0.039,0.012,7076112
0.998,0.001,0.001,7117130
0.084,0.232,0.684,7060977
0.951,0.044,0.005,6935502
0.998,0.002,0.0,7046939
0.991,0.007,0.002,7191408
0.987,0.011,0.002,7151304
0.9,0.098,0.002,6960546
0.996,0.004,0.0,6885110
0.875,0.106,0.019,7160673
0.857,0.107,0.036,7021344
0.132,0.845,0.023,6932777
0.9563333333333334,0.041666666666666664,0.002,7091995
0.841,0.095,0.064,7011678
0.873,0.118,0.009,7142461
0.809,0.162,0.029,7092078
0.839,0.139,0.022,6988289
0.863,0.12,0.017,7103672
0.987,0.013,0.0,7004955
1.0,0.0,0.0,7199651
0.192,0.78,0.028,6869023
0.906,0.077,0.017,6960817
0.998,0.002,0.0,7111336
0.993,0.007,0.0,7077646
0.789,0.124,0.087,7142920
0.98,0.019,0.001,6930691
0.133,0.159,0.708,7041277
0.927,0.057,0.016,7076388
0.971,0.026,0.003,7016770
0.169,0.783,0.048,6875761
0.344,0.653,0.003,6911363
0.995,0.005,0.0,7013115
0.979,0.016,0.005,7095209
0.996,0.004,0.0,6992387
0.215,0.775,0.01,7115412
0.845,0.119,0.036,7076399
0.995,0.005,0.0,6812786
0.092,0.7105,0.1975,7092819
0.931,0.059,0.01,7051567
0.7715,0.1265,0.102,7033892
0.967,0.032,0.001,6842006
0.994,0.006,0.0,6924548
0.952,0.041,0.007,7132090
0.991,0.009,0.0,6819608
0.283,0.713,0.004,7160013
0.962,0.034,0.004,7028739
0.868,0.096,0.036,7173899
0.12,0.13,0.75,6938186
0.991,0.006,0.003,6903786
0.764,0.211,0.025,7159702
0.951,0.042,0.007,6812759
0.91,0.084,0.006,7052783
0.984,0.013,0.003,6871383
0.985,0.012,0.003,7042514
0.995,0.005,0.0,6998407
0.937,0.057,0.006,6974732
0.98,0.019,0.001,6871528
0.894,0.087,0.019,6886688
0.07,0.737,0.193,6923125
0.282,0.704,0.014,6952452
0.113,0.187,0.7,7111210
0.297,0.699,0.004,6824009
0.179,0.755,0.066,6901494
0.988,0.011,0.001,6909668
0.889,0.081,0.03,6969228
0.16875,0.778,0.05325,6910959
0.814,0.161,0.025,7028261
0.995,0.005,0.0,6924675
0.9536666666666667,0.04533333333333334,0.001,6821129
0.992,0.008,0.0,6998148
0.9565,0.0355,0.008,7230895
0.969,0.029,0.002,6924176
0.919,0.062,0.019,6925237
0.985,0.014,0.001,7005919
0.17625,0.752,0.07175,6947757
0.101,0.165,0.734,6876327
0.994,0.004,0.002,7100745
0.903,0.088,0.009,6826996
0.959,0.033,0.008,7011200
0.203,0.097,0.7,6840838
0.863,0.118,0.019,7109479
0.966,0.023,0.011,7162994
0.86,0.122,0.018,7028988
0.871,0.124,0.005,7079710
